"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"87292911725","The project aims to get Timorese women recognition about their cultural potencies and their skills and how huge and valuable women's life is in reflection on their artistic potential"," ","To get Timorese women recognition about their cultural potencies and theri skills and how huge and valueable women's life is in reflection on their artistic potential","","6 Timorese women travelled to Angola to share theirs skills in weaving Tais and creating artistic network with Angolian weaving arts","Norway User (norway@amp.org)","22/03/2012","Norway User (norway@amp.org)","12/02/2013","11/03/2011","10/11/2011","","District Level","Timor-Leste","Dili","Vera Cruz"," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Alola Fondation","Domestic NGO","Alola Fondation","Domestic NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality"," "," ","SOCIAL CAPITAL","SOCIAL INCLUSION","Dili"
"87292191420","It intends Single mothers get possibility to participate in economic and political activities. Female victims of domestic violence are given access to a shelter house to be protected. Children in the centre are given pre-school education"," ","Promotion of justice and equality between women and men; Single mothers get the possibility to participate in economic and political activities; feamle victims of domestic violence are given access to a shelter house to be protected; children in the cente","","  80 women/single mothers /year are active in job and leaving their children in the child care center   100 children/year at the age of 3 months to 7 years get pre-school education   80 female victims of violence gets access to the safe house and get assi","AMP Project Manager (atl@amp.org)","22/09/2011","Norway User (norway@amp.org)","12/02/2013","24/10/2008","31/12/2012","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Fokupers","Domestic NGO","Fokupers","Domestic NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality"," "," ","SOCIAL CAPITAL","SOCIAL INCLUSION","Fatuhada"
"87292191419","The project intends to contribute to the development of a judicial system and laws that place greater respect on the rights of women, an increased number of women who know how to access this judicial system and greater awareness among police, courts and t"," ","Women leaders, police, students (high school and university) are trained about women's rights and the processes of formal justice system","","  Women more informed about their rights and aware of how to access the formal judicial system   Communities are well informed about women right and VAW   Law enforcer has gender sensitivity   Rate of women to purse for further study of law   Proposed leg","AMP Project Manager (atl@amp.org)","22/09/2011","Norway User (norway@amp.org)","12/02/2013","15/01/2010","31/12/2012","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," - Aileu
 - Alas
 - Baucau
 - Bazartete
 - Hatolia
 - Lospalos
 - Manatuto
 - Maubisse
 - Same
 - Suai
 - Tilomar
 - Viqueque"," - Daisua
 - Debos
 - Maudema","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","JSMP","Independent legal entity","JSMP","Independent legal entity","National Police of Timor-Leste","PNTL - Police Especial Unit","210502"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - JUSTICE
 - SOCIAL INCLUSION","Umaberloic"
"87292191421","The project would like to increase the competence and capacity in Timor Leste such that the public sector can manage all petroleum activities specifically in technical,legal and health, HSE compliance and reveneu management"," ","Assist Goverment of Timor Leste to manage petroleum activities in such as way that petroleum delivers the greatest possible benefit to the people"," ","  NPA functions well as regulatory authority, covering both upstream and downstream activities   Petroleum tax division of MoF controls tax revenue professionally   Fiscal policy is sound and recognised internationally as such   Petroleum fund is managed ","AMP Project Manager (atl@amp.org)","22/09/2011","Norway User (norway@amp.org)","12/02/2013","20/05/2008","31/12/2013","","District Level","Timor-Leste","Dili","Vera Cruz"," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Ministry of Petroleum and Mineral Resources","RDTL Line Ministry","Ministry of Petroleum and Mineral Resources","RDTL Line Ministry","Ministry of Petroleum and Mineral Resources","Ministry of Mineral Resources and Petroleum - National Directorate of Administration and Finance","340201","ECONOMIC DEVELOPMENT","PETROLEUM","Dili"
"87292191422","It aims to improve efficiency and effectiveness of the water resources and power management in Timor Leste"," ","Assist Goverment of Timor Leste to manage institutional cooperation within the power sector that delivers the greatest possible benefit to the peeople","","  Legal framework in water resource management and a hydropower master plan for Timor Leste is prepared     4 power development is prepared and if implemented, the project is managed and supervised efficiently and effectively     Institutional strengtheni","AMP Project Manager (atl@amp.org)","22/09/2011","Norway User (norway@amp.org)","12/02/2013","02/09/2009","31/12/2013","","District Level","Timor-Leste","Dili"," "," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Ministry of Petroleum and Mineral Resources","RDTL Line Ministry","Ministry of Petroleum and Mineral Resources","RDTL Line Ministry","Ministry of Petroleum and Mineral Resources","Ministry of Public Works - National Directorate for the Coordination of Energy Renewal Activities ","70104","INFRASTRUCTURE DEVELOPMENT","ELECTRICITY"," "
"87292191418","The project aims to build the capacity of SEPI, the key National Women's Machinery to fulfill its mandate and strengthen strategic partnerships with key stakeholders in civil society, donor agencies and parliament"," ","1.Strengthen the capacity of SEPI to promote a culture of equality in Timor Leste 2. Enhance leadership in legal and policy development and change in SEPI toward mainstreaming of gender equality 3. Strengthen the capacity in the government for implementat","","  A team from SEPI have realised a comparative study in Cambodia and lesson learnt to Timor Leste   SEPI's staff have capacity building in relevant and identified areas   Relevant documents on gender and gender equality provided in all official languages ","AMP Project Manager (atl@amp.org)","22/09/2011","Norway User (norway@amp.org)","12/02/2013","26/02/2009","31/12/2012","","District Level","Timor-Leste","Dili","Nein Feto"," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","RDTL Line Ministry","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","RDTL Line Ministry","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality"," "," "," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE
 - SOCIAL INCLUSION","Gricenfor"
"87292911724","The project focuses on using media as strategy to increase access to justice especially for women"," ","To increase public awareness of basic rights to seek legal remedies to legitimate grievances that is to increase public knowledge and change public perceptions and attitudes regarding the workings of the Timorese judicial system - To support the creation "," ","1 large formal meeting and 10 informal meeting are conducted at message development stakeholder meetings to elicit the stakeholders (legal, gender, youth experts) for the content of media outreach campaigns, build consensus and foster dialogue. - 26 peopl","Norway User (norway@amp.org)","22/03/2012","Norway User (norway@amp.org)","12/02/2013","05/11/2011","31/10/2013","","District Level","Timor-Leste","Dili","Vera Cruz"," ","Norway","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Search for common ground","Domestic NGO","Search for common ground","Domestic NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development ","110104"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - JUSTICE
 - SOCIAL INCLUSION","Dili"
"87292191237","Rehabilitation of water pipe from intake at Comoro River to Bemos WTP, including lower water reservoir and valve chamber of Bemos WTP."," ","To improve Dili urban raw water main and water reservoir and valve chamber in Bemos WTP","","Under Construction","AMP Project Manager (atl@amp.org)","02/08/2011","JICA User (jica@amp.org)","12/02/2013","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support","Capital Development","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292191228","This is to assist utilization of mapping technology in Timor-Leste."," ","To estabilish a system to promote the use of geographic information at DNTPSC, MOJ","","Successfully transferred the technic for GIS to the personnel in Ministry of Justice.","AMP Project Manager (atl@amp.org)","02/08/2011","JICA User (jica@amp.org)","12/02/2013","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","Ministry of Justice"," "," "," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE","Motael"
"87292191245","This is to provide a training course in Japan for PNTL officers to study about Japanese community policing system."," ","To enhance community policing in districs and national level function properly","","On going. So far 5 District commanders of PNTL participated in the training on community policing in Japan and Indonesia","AMP Project Manager (atl@amp.org)","02/08/2011","JICA User (jica@amp.org)","12/02/2013","","","","National","Timor-Leste"," "," "," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","National Police of Timor-Leste","Ministry of Defense and Security - PNTL - Police Academy","210506","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292524043","Advisory to structure and tender PPP"," ","Private invetsment in PPP project","","$7-10 million private investment in NL International Airport in Dili Excellent process to identify new investors.","IFC User (ifc@amp.org)","13/02/2013","IFC User (ifc@amp.org)","23/01/2014","","","","District Level","Timor-Leste","Dili"," "," ","Australia","Bilateral","Project Support","Appropriation Category Unallocated","Grant","International Finance Corporation","World Bank Group","International Finance Corporation","World Bank Group","Ministry of Finance","Ministry of Transport and Communications - Civil Aviation Authority of Timor Leste","310501","INFRASTRUCTURE DEVELOPMENT","AIRPORTS","PPP Poject"
"87292411778","To install irrigation channel in the area, and training the villagers for its maintenance."," ","To increace the productivity and to expand the cultivation area of the target region.","","Completed in 2013","Government of Japan User (goj@amp.org)","25/04/2012","JICA User (jica@amp.org)","14/02/2013","17/02/2012","","","District Level","Timor-Leste","Manufahi","Alas"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Dezemvolve Kapasidade ba Progreso","Domestic NGO","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - Directorate Agricultural Services in the District of Manufahi","321910","ECONOMIC DEVELOPMENT","AGRICULTURE","Umaberloic"
"87292611844"," "," "," ",""," ","Brazil User (brazil@amp.org)","02/05/2012","GS NDAE (gsndae@amp.org)","19/02/2013","","10/12/2012","","National","Timor-Leste"," "," "," ","Brazil","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Agência Brasileira de Cooperação (Brazil)","Brazil","Agência Brasileira de Cooperação (Brazil)","Brazil","Ministry of Education","Ministry of Education - Direcção Nacional do Ensino Basico","260417","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191280"," "," ","Global Development Alliance with Cooperative Business International (CBI) to improve the competitiveness of CCT's coffee; funds leveraged $1m from CBI."," "," ","AMP Project Manager (atl@amp.org)","07/08/2011","USAID User (usaid@amp.org)","19/02/2013","","","","District Level","Timor-Leste"," - Aileu
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Liquica
 - Manufahi
 - Oecussi"," "," ","United States","Bilateral","Program Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","National Cooperative Business Association","International NGO","Ministry of Agriculture and Fisheries"," "," ","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292191282","This project is working to establish rural nut gatherers into a more efficient value-chain groups that can supply high-value candlenut kernels to the Indonesian market. The primary focus is the organization of gatherers into groups that manage joint proce"," ","Improve the quality of Timor-Leste's candlenut by making improvements at each stage of the value chain.","","USAID is one of the few development partners to establish agriculture programs that link production by farmers and communities into the full value chain. As a result, income generation has significantly increased. Participation of private sector players a","AMP Project Manager (atl@amp.org)","07/08/2011","GS NDAE (gsndae@amp.org)","20/02/2013","","","","District Level","Timor-Leste"," - Baucau
 - Viqueque"," "," ","United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Catholic Relief Services","International NGO","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301"," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - AGRICULTURE
 - EDUCATION AND TRAINING
 - PRIVATE SECTOR INVESTMENT"," "
"87292191283"," "," ","Iniciate household dairy industry in Timor-Leste"," "," ","AMP Project Manager (atl@amp.org)","07/08/2011","GS NDAE (gsndae@amp.org)","20/02/2013","","","","District Level","Timor-Leste"," - Bobonaro
 - Lautem"," - Lospalos
 - Maliana"," ","United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States"," "," ","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301","ECONOMIC DEVELOPMENT","RURAL DEVELOPMENT"," "
"87292191277"," "," ","Strengthen the private sector with support for agribusiness, commercial services, financial services, and the business enabling environment."," "," ","AMP Project Manager (atl@amp.org)","07/08/2011","GS NDAE (gsndae@amp.org)","20/02/2013","","","","National","Timor-Leste"," "," "," ","United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Development Alternatives Inc","Private","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292511672","Improved technical skill and fishery production, increased the access to the markets and the skills in fishery area."," ","Initiated an associative process in network, strengthened the capacities of fishing families with gender equity, improved fish marketing.","","O.E.1 Start a cooperative network job  O.E.2 Increase skills of families  O.E.3 Increase running CCP","AECID User (aecid@amp.org)","08/03/2012","GS NDAE (gsndae@amp.org)","20/02/2013","","","","District Level","Timor-Leste"," - Baucau
 - Lautem
 - Manatuto"," - Baucau
 - Laclo
 - Laga
 - Laleia
 - Lautem
 - Manatuto
 - Tutuala
 - Vemasse"," ","Spain","Bilateral","Project Support","Appropriation Category Unallocated","Grant"," - DESARROLLO
 - Paz","International NGO","Paz","International NGO","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301","ECONOMIC DEVELOPMENT"," "," "
"87292541705","Sufficiency Economy approach is transfered to farmers by the training by Thai experts, study visits to thailand and on the job training","Indirectly Supportive","Sufficiency Economy approach is applied by Timor-Leste farmers"," ","Sufficiency economy approach applied and farmers are better off.","Thailand User (thailand@amp.org)","22/03/2012","GS NDAE (gsndae@amp.org)","20/02/2013","","31/12/2012","01/01/2011","District Level","Timor-Leste","Dili"," "," ","Thailand","Bilateral","Project Support","Goods or Services","Grant","Thailand","Thailand","Ministry of Agriculture and Fisheries","RDTL Line Ministry","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorate for the Support of Agriculture Community Development","321801","ECONOMIC DEVELOPMENT"," - AGRICULTURE
 - RURAL DEVELOPMENT"," "
"87292661797","The significant achievements of the Reforestation and Family Income Program during the past two and one half years provide the base and, with it, the substantial opportunity to progress to a more advanced stage of development activity. Steps can now be ta"," ","Capacity building of the partner and improve standard of life"," "," ","Monaco User (monaco@amp.org)","27/04/2012","GS NDAE (gsndae@amp.org)","20/02/2013","01/01/2011","31/12/2014","01/01/2011","District Level","Timor-Leste","Ermera"," - Atsabe
 - Ermera Kota
 - Hatolia
 - Lete Foho
 - Railaco"," ","Monaco","Bilateral"," - Program Support
 - Project Support"," - Appropriation Category Unallocated
 - Capital Development","Grant","The Saint Bakhita Center","Domestic NGO","The Saint Bakhita Center","Domestic NGO","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorate for the Support of Agriculture Community Development","321801","ECONOMIC DEVELOPMENT"," - AGRICULTURE
 - RURAL DEVELOPMENT"," "
"87292191185"," "," ","Sames' autonomization, Rehabilitation IHS and CHC",""," ","AMP Project Manager (atl@amp.org)","29/07/2011","World Bank User (wb@amp.org)","06/03/2013","20/10/2005","","","National","Timor-Leste"," "," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group","World Bank","World Bank Group","Ministry of Health","Ministry of Health - National Directorate Planning and Finance","250107","SOCIAL CAPITAL","HEALTH"," "
"87292191220","The Project is sector-based in design,will finance part of the mediumterm road network development program. At the end of the Project, (i) about 232 kilometers (km) of national roads will have been improved to maintainable condition; (ii) a road maintenan","Indirectly Supportive","Improved access to social and economic facilities in project areas","","1. Road rehabilitated 2. Road maintenance program established 3. Border posts constructed inMota Ain, Salele,Sakato, and Oesilo 4. Improved capacity of national contractors to implement road rehabilitation and maintenance works 5. Improved MOI capacity to","AMP Project Manager (atl@amp.org)","02/08/2011","ADB User (adb@amp.org)","12/03/2013","26/02/2010","31/05/2015","05/04/2010","District Level","Timor-Leste"," - Bobonaro
 - Cova Lima
 - Ermera
 - Liquica
 - Oecussi"," - Atabae
 - Atsabe
 - Balibo
 - Bazartete
 - Bobonaro
 - Cailaco
 - Ermera Kota
 - Fatululic
 - Hatolia
 - Maliana
 - Oesilo
 - Pante Makasar
 - Railaco
 - Suai
 - Tilomar
 - Zumalai"," - Fato Lulik
 - Lourba
 - Oeleu
 - Salele
 - Tibar"," - Asian Development Bank Group
 - RDTL Line Ministry"," - Government of Timor-Leste
 - Multilateral"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Capital Development
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","Ministry of Public Works","RDTL Line Ministry"," - Asian Development Bank
 - Ministry of Public Works"," - Asian Development Bank Group
 - RDTL Line Ministry","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES"," - Atsabe
 - Ermera
 - Gleno
 - Liquica
 - Maliana
 - Motaain
 - Oe-Cussi
 - Oeleo
 - Oesilo
 - Pante Makasar
 - Sakato
 - Suai
 - Tilomar
 - Zumalai"
"87292361449","NDWS rehabilitates and expands Manatuto and Pante Macasar water supply systems."," ","NDWS provides safe and reliable water supply to district capitals Manatuto and Pante Macasar",""," ","ADB User (adb@amp.org)","22/10/2011","ADB User (adb@amp.org)","12/03/2013","28/10/2011","30/06/2017","","District Level","Timor-Leste"," - Manatuto
 - Oecussi"," - Manatuto
 - Pante Makasar"," "," - Asian Development Bank Group
 - RDTL Line Ministry"," - Government of Timor-Leste
 - Multilateral"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Capital Development
 - Goods or Services
 - Minor Capital
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Ministry of Public Works","RDTL Line Ministry","Ministry of Public Works","RDTL Line Ministry","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," - Manatuto
 - Pante Makasar"
"87292364174","Timor-Leste has requested assistance from the Asian Development Bank (ADB) to help  coordinate capacity development and investment planning across infrastructure and to mobilize  financial resources needed for infrastructure investment. The technical assi","Neutral","Strengthened infrastructure management by the MPW. Performance will be measured by progress in implementing the long-term strategic plan for the MPW, which will be prepared with the support of the TA."," ","1. Resultsbased, longterm strategic plan for the MPW.   2. Operational capacity development framework.","ADB User (adb@amp.org)","12/03/2013","ADB User (adb@amp.org)","21/03/2013","18/01/2013","31/12/2014","15/01/2013","National","Timor-Leste"," "," "," ","Asian Development Bank Group","Multilateral","Project Support","Appropriation Category Unallocated","Grant","Asian Development Bank","Asian Development Bank Group","Ministry of Public Works","RDTL Line Ministry","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT"," "," "
"87292361441","The expected impact of the TA is enhanced opportunities for economic participation, and improved access to basic social services for all East Timorese. AusAID initiative INH497."," ","Transport,communications, urban municipal, power, and water supply and sanitation infrastructure assets are created and upgraded in line with medium-term National Development Plan targets.","","1. MoPW, MoTC, and MoNRMEP have completed annually programmed procurement of consulting services, goods, and works contracts, in a transparent, fair, and efficient manner. 2. MoPW, MoTC, and MoNRMEP have implemented annually programmed consulting services","ADB User (adb@amp.org)","21/10/2011","ADB User (adb@amp.org)","13/03/2013","04/09/2007","31/12/2014","","National","Timor-Leste"," "," "," "," - Asian Development Bank Group
 - Australia
 - RDTL Line Ministry"," - Bilateral
 - Government of Timor-Leste
 - Multilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT"," "," "
"87292191271","The TA will focus on building the capacity of the staff of the NDS by supporting staff to design and undertake business activity surveys for sectors to be determined jointly by ADB and NDS. The TA will support the collection, validation, processing, analy","Neutral","Enhanced stastical system in providing macroeconomic advice and analysis",""," ","AMP Project Manager (atl@amp.org)","02/08/2011","ADB User (adb@amp.org)","13/03/2013","08/01/2010","31/12/2012","08/01/2010","National","Timor-Leste"," "," "," "," - Asian Development Bank Group
 - RDTL Line Ministry"," - Government of Timor-Leste
 - Multilateral"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Finance","Ministry of Finance - National Directorate of Statistics","220702","SOCIAL CAPITAL","HEALTH"," "
"87292191272","The outcome of the Project will be to make efficient use of water resources and the expected impact is to improve socioeconomic and health conditions, particularly for women, in Oecussi, Ermera and an additional district by: (i) increasing access to safe ","Neutral","Population of Oecussi and Ermera and one additional district make efficient use of water resources","","Population of Oecussi and Ermera and one additional district make efficient use of water resources","AMP Project Manager (atl@amp.org)","02/08/2011","ADB User (adb@amp.org)","13/03/2013","17/11/2010","","","District Level","Timor-Leste"," - Aileu
 - Ermera
 - Manatuto
 - Oecussi"," - Aileu
 - Ermera Kota
 - Hatolia
 - Lete Foho
 - Manatuto
 - Pante Makasar"," - Aiteas
 - Maabat
 - Sau"," - Asian Development Bank Group
 - RDTL Line Ministry"," - Government of Timor-Leste
 - Multilateral"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Public Works","Ministry of Public Works - National Directorate of Water","300801","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," - Darudu
 - Hatolia
 - Mahata
 - Oesono
 - Sanane
 - Tulaika"
"87292361448","Improved and sutainable road network in Timor-Leste"," ","Improved understanding of the requirement of road network development for MoI and development partners",""," ","ADB User (adb@amp.org)","22/10/2011","ADB User (adb@amp.org)","13/03/2013","","","","National","Timor-Leste"," "," "," "," - Japan
 - RDTL Line Ministry"," - Bilateral
 - Government of Timor-Leste"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES"," "
"87292361905","ADB-funded projects in Timor-Leste have validated the need to improve operations and maintenance (O&M) of water systems and to increase institutional capacity to manage urban water supply systems. These needs are vital to adequate service delivery, which ","Indirectly Supportive","The outcome of the TA is that MOI and NDWSS will implement a tested urban water sector institutional reform program.","","1. Adoption of a draft urban water sector institutional reform program. 2. NDWSS, Pante Macasar DDWSS,and Manatuto DDWSS successfully pilot proposed urban water sector institutional reform program.","ADB User (adb@amp.org)","09/08/2012","ADB User (adb@amp.org)","13/03/2013","09/01/2012","28/02/2015","","District Level","Timor-Leste"," - Manatuto
 - Oecussi"," - Manatuto
 - Pante Makasar"," ","Asian Development Bank Group","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Public Works","Ministry of Public Works - National Directorate of Water","300801","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," - Manatuto
 - Pante Makasar"
"87292361439","To support efforts to enhance the development results from foreign aid. Through AIMS will provide data and information on development partner activities, it will be linked to the government's financial management system between the budget and development ","Neutral","Improved processes and system within the Ministry of Finance for managin development","","Clear understanding of ODA to Timor-Leste through the implementation of Aid Information Management System which integrates information to budget","ADB User (adb@amp.org)","21/10/2011","ADB User (adb@amp.org)","13/03/2013","14/12/2010","","","National","Timor-Leste"," "," "," "," - Japan
 - RDTL Line Ministry"," - Bilateral
 - Government of Timor-Leste"," - Budget Support
 - Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages"," - Goverment of Timor Funds
 - Grant","Asian Development Bank","Asian Development Bank Group","Asian Development Bank","Asian Development Bank Group","Ministry of Finance","Unit Management of Development Partnerships","220806","INSTITUTIONAL FRAMEWORK","PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292191356","The Integrated Programme for Women in Politics and Decision Making (IPWPDM) is a 7-year programme designed to enhance and support women's participation in politics and in decision making at the national, municipal and suco levels.   The programme has two ","Directly Supportive","Gender aware and effective women are elected into decision making positions in national level state institutions and at the municipal and suco councils. To promote women's participation through transformative leadership in politics and the communities to ","","Parliamentary Election Law No.6/2006 was amended to No. 7/2011 on June 22nd 2011 increasing the quota of women candidates on political party lists for one in four to one in three.   Gender Resource Centre established to provide support to Parliamentarians","AMP Project Manager (atl@amp.org)","10/08/2011","GS NDAE (gsndae@amp.org)","14/03/2013","","","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," - Ainaro
 - Atauro
 - Baguia
 - Baucau
 - Ermera Kota
 - Fatu Maka
 - Laga
 - Liquidoe
 - Lospalos
 - Maliana
 - Railaco
 - Remexio
 - Same
 - Tilomar
 - Uatu Carbau"," - Afaloikai
 - Bucoli
 - Buibau
 - Fahi Soi
 - Gariuai
 - Maudema
 - Railaco Leten
 - Ritabou
 - Soba
 - Triloka"," - Australia
 - International NGO
 - Ireland
 - Norway"," - Bilateral
 - NGO","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","UN Women","United Nations"," - Alola Fondation
 - FONGTIL
 - Fokupers
 - KOMEG
 - Rede Feto
 - TIDS
 - TLMDC
 - Women Community"," - Domestic NGO
 - Other"," - National Election Commission
 - National Parliament
 - Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality"," - National Election Commission - National Electoral Commission Division
 - Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development "," - 110104
 - 540101","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION","Raca"
